"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000111674",1477.10848720014,2.02087296838248,0.124718845360009,16.2034291012645,4.76918648807236e-59,1.62042282444736e-56,"ENO2"
"ENSG00000092969",2782.7695332604,1.77590022423701,0.110872265285617,16.0175335072494,9.63989111506441e-58,3.19345492914296e-55,"TGFB2"
"ENSG00000087245",1138.72669321586,-1.44375439467042,0.0907720701379566,-15.9052712191777,5.82504950014089e-57,1.88262758356993e-54,"MMP2"
"ENSG00000108828",5068.84165474047,1.37490224582409,0.087533439637925,15.7071657587234,1.35084546268391e-55,4.26191743476774e-53,"VAT1"
"ENSG00000128591",4464.5392585494,2.44492762023811,0.158627257697809,15.413035916537,1.33776568931109e-53,4.12249608117704e-51,"FLNC"
"ENSG00000122862",4507.13954441766,1.52262942249149,0.0988362995419994,15.4055689007707,1.50161757522366e-53,4.5222578384747e-51,"SRGN"
"ENSG00000106829",691.747546518188,1.92100491735643,0.124867357229715,15.3843643364888,2.08413198558826e-53,6.13707398689557e-51,"TLE4"
"ENSG00000047644",241.058268452058,3.96996534756822,0.258271619387434,15.3712798834969,2.55079904695389e-53,7.34796481982303e-51,"WWC3"
"ENSG00000146678",5927.52329689955,2.00726981353764,0.130600829085599,15.3695028400014,2.62173201000854e-53,7.39161082226024e-51,"IGFBP1"
"ENSG00000107104",213.056234523181,-4.39357183491403,0.287308249186011,-15.2921882589926,8.62042276036437e-53,2.37977545828309e-50,"KANK1"
"ENSG00000151617",259.289232170394,3.62428763762976,0.238115783204426,15.2206946925406,2.57779182642742e-52,6.97108561061015e-50,"EDNRA"
"ENSG00000164687",4259.08943111166,1.63097248590767,0.107194903234961,15.2150189672053,2.81137964022263e-52,7.450718322518e-50,"FABP5"
"ENSG00000205542",27600.4499100462,1.21457061812476,0.080554401112459,15.0776444409181,2.27232348142498e-51,5.90403106909068e-49,"TMSB4X"
"ENSG00000026751",274.643548840784,4.98930886815082,0.331389794152872,15.0557106953307,3.16677831661645e-51,8.06980374490089e-49,"SLAMF7"
"ENSG00000185904",353.754531332014,3.61124196732244,0.241139797743559,14.9757194835289,1.05816455981015e-50,2.6456110532159e-48,"LINC00839"
"ENSG00000103888",295.40237829545,3.35132977232659,0.223884794462868,14.9689923353969,1.17081782293575e-50,2.8730568466151e-48,"CEMIP"
"ENSG00000154096",3146.03380761305,12.372003537591,0.840608722880789,14.7179100107263,4.94714775977729e-49,1.19190281754198e-46,"THY1"
"ENSG00000122786",1749.54146804203,1.43673919249883,0.100877697545798,14.2423868451851,4.99900236841203e-46,1.1828889354255e-43,"CALD1"
"ENSG00000272602",179.232253853425,-5.40147523812017,0.379681089477227,-14.2263478161562,6.28810480072113e-46,1.46181888972554e-43,"ZNF595"
"ENSG00000083444",3440.18355401129,1.29300028083187,0.0911081852169438,14.191922248841,1.02801680613636e-45,2.34866391346773e-43,"PLOD1"
"ENSG00000106366",5596.17788000431,1.30976444034143,0.0925177243398107,14.1569029036076,1.69292324214898e-45,3.80219082740951e-43,"SERPINE1"
"ENSG00000197061",18849.3125595598,-0.764217144369638,0.0541181364718089,-14.1212760488849,2.8085917282947e-45,6.20277483193884e-43,"H4C3"
"ENSG00000168209",917.005605593008,-1.8023531882963,0.128113908850395,-14.0683646644565,5.94277823683676e-45,1.29094679371023e-42,"DDIT4"
"ENSG00000130294",136.935082552139,-5.99721287408034,0.426336590088177,-14.0668500276741,6.07140875498142e-45,1.29761673245579e-42,"KIF1A"
"ENSG00000170175",260.477105793193,2.88818210106329,0.206830677450791,13.9639928499023,2.58534319925193e-44,5.43783852909324e-42,"CHRNB1"
"ENSG00000235109",945.269409673743,-2.01517472683908,0.144517047399772,-13.9442007922054,3.4124916560319e-44,7.0654573334498e-42,"ZSCAN31"
"ENSG00000178776",627.438423041946,1.68753439977325,0.122037965520487,13.8279460213547,1.72886880346186e-43,3.52449854071894e-41,"C5orf46"
"ENSG00000118985",3570.80000087183,1.17824002322441,0.0855903019627936,13.7660458744099,4.07937567802963e-43,8.19027380448041e-41,"ELL2"
"ENSG00000042493",987.964063904798,-1.21589563646819,0.0884584548798616,-13.7453863298826,5.42825219891162e-43,1.07357865504146e-40,"CAPG"
"ENSG00000116183",156.940275359584,-3.11892679270541,0.227155161113872,-13.7303804915175,6.67818789610632e-43,1.30136276193095e-40,"PAPPA2"
